Name,200% Ult. Date in JP,200% Ultimate,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Lars,29-May-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%209.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%209.png",Available in GL,15-May-25,4-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,15-May-25,11-Apr-24,Orsterra,328,378,257,307,251,301,1-Mar-23,6.68,B,Yes,3162,3982,Power,7-Oct-21,E,9.1,ラース,Warrior,Sufrataljah,Chance Encounters,419,484,308,373,301,371,315,350,A1 then U Lv10,"Sword, Wind"
Falco,5-Jun-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%207.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%207.png",Available in GL,6-Feb-25,5-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,6-Feb-25,14-Mar-24,Orsterra,338,388,246,296,278,328,8-Mar-23,6.89,B,Yes,2902,3722,Power,26-Aug-21,C,9.3,ファルコ,Thief,Flamesgrace,Chance Encounters,348,413,300,320,362,442,410,475,A1 then U Lv10,"Dagger, Ice"
Yan Long,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%206.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%208.png",Available in GL,12-Jun-25,12-Sep-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,12-Jun-25,12-Sep-24,Orsterra,277,312,265,330,324,389,15-Mar-23,6.31,B,Never,3032,3772,Wealth,27-Oct-21,C,9.3,イェンロン,Cleric,I'cirlo,Tourney,381,431,267,317,348,428,326,376,A4 before U Lv10,"Ice, Staff"
W’ludai,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%207.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%205.png",Available in GL,13-Feb-25,4-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,13-Feb-25,4-Jan-24,Orsterra,226,261,280,330,260,310,15-Mar-23,5.71,C,Yes,3440,4340,Power,11-Nov-21,E,9.1,ウルダイ,Merchant,I'cirlo,Chance Encounters,414,479,318,368,292,372,303,338,Leave it at U Lv9,"Dark, Polearm"
A2,28-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2010.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%206.png",Available in JP,,14-Mar-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,14-Mar-24,NieR Universe (NieR series),368,418,110,130,248,298,22-Mar-23,8,A,Never,3012,3832,Power,1-Mar-22,C,9.4,A2,Thief,Memoir,NieR:Automata Crossover Guidance,439,519,305,325,332,412,435,515,A4 before U Lv10,"Axe, Dagger, Sword"
9S,28-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%209.png",Available in JP,,14-Mar-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,14-Mar-24,NieR Universe (NieR series),216,251,389,439,290,340,22-Mar-23,3.91,E,Never,3240,4140,Wealth,1-Mar-22,E,9.1,9S,Merchant,Memoir,NieR:Automata Crossover Guidance,235,300,353,403,362,442,320,355,U Lv10 before A1,"Fire, Lightning, Polearm"
2B,28-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%207.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%209.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%206.png",Available in JP,,14-Mar-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,14-Mar-24,NieR Universe (NieR series),288,338,257,307,246,296,22-Mar-23,5.56,C,Never,3242,4062,Fame,1-Mar-22,E,9.1,2B,Warrior,Memoir,NieR:Automata Crossover Guidance,434,499,323,388,301,371,320,355,Leave it at U Lv9,"Axe, Dark, Fire, Sword"
Tithi,27-Feb-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%206.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2010.png",Available in GL,13-Mar-25,7-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,13-Mar-25,7-Dec-23,Orsterra,239,274,417,482,337,387,5-Apr-23,6.63,B,Never,2776,3596,Fame,1-Dec-21,B,9.5,ティティ,Dancer,Sufrataljah,Sacred Blaze Guidance,230,280,227,277,494,564,412,477,Leave it at U Lv9,"Fan, Lightning"
Hayes,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2010.png",Available in GL,6-Mar-25,22-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,15-Aug-24,Orsterra,267,317,322,387,230,280,12-Apr-23,5.18,C,Yes,3170,3990,Power,25-Nov-21,D,9.2,ヘイズ,Apothecary,Cragspear,Chance Encounters,420,470,340,390,348,418,268,318,Leave it at U Lv9,"Axe, Fire"
Largo,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%209.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%206.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2011.png",Available in GL,12-Jun-25,6-Jun-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,12-Jun-25,6-Jun-24,Orsterra,227,247,367,417,266,316,19-Apr-23,3.25,E,Never,3260,4160,Fame,23-Dec-21,D,9.2,ラルゴ,Merchant,Atlasdam,Tourney,326,376,326,376,347,427,255,275,A4 before U Lv10,"Bow, Fire, Lightning, Polearm"
Joshua,29-May-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2012.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%209.png",Available in GL,6-Mar-25,28-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,12-Jun-25,25-Apr-24,Orsterra,353,403,257,307,241,291,19-Apr-23,3.86,E,Yes,3217,4037,Fame,23-Dec-21,E,9,ジョシュア,Warrior,Cathedral of Thytos,Chance Encounters,374,439,298,363,291,361,360,395,Ultimate not worth,"Ice, Sword"
Chloe,5-Jun-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%207.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2010.png",Available in GL,27-Feb-25,9-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,9-May-24,Orsterra,310,360,335,385,258,308,10-May-23,5.73,C,Yes,2982,3802,Power,6-Jan-22,C,9.4,クロエ,Hunter,Grandport,Chance Encounters,362,427,223,243,411,491,375,440,U Lv10 before A1,"Bow, Wind"
Nona,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2010.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2012.png",Available in GL,20-Feb-25,14-Feb-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,20-Feb-25,14-Feb-24,Orsterra,241,276,325,375,291,341,17-May-23,4.95,D,Yes,3465,4365,Wealth,20-Jan-22,C,9.4,ノーニャ,Merchant,Berecain,Chance Encounters,382,447,317,367,332,412,225,260,Leave it at U Lv9,"Fire, Polearm"
Eleonora,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%207.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2010.png",Available in GL,6-Mar-25,22-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,23-May-24,Orsterra,247,282,433,498,377,427,31-May-23,5.52,C,Yes,2786,3606,Fame,3-Feb-22,E,9.1,エレオノーラ,Dancer,Atlasdam,Chance Encounters,253,303,214,264,504,574,352,417,Leave it at U Lv9,"Fan, Ice"
Richard,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2012.png",Available in GL,27-Mar-25,14-Mar-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,11-Jul-24,Orsterra,273,323,247,297,261,301,7-Jun-23,8.32,S,Never,3247,4067,Fame,10-Feb-22,B,9.6,リシャール,Warrior,Memoir,Traveler of Memories,409,474,353,418,306,376,330,365,U Lv10 before A1,"Lightning, Sword"
Alaune,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%207.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2013.png",Available in GL,24-Apr-25,25-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,24-Apr-25,25-Jan-24,Orsterra,211,261,404,469,360,410,28-Jun-23,5.32,C,Never,2906,3566,Power,31-Mar-22,C,9.4,アラウネ,Scholar,Memoir,Traveler of Memories,201,251,316,366,577,667,293,343,Ultimate not worth,"Fire, Light, Tome"
Auguste,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%209.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%207.png",Available in JP,,2-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,2-Nov-23,Orsterra,258,308,286,336,270,320,26-Jul-23,6.36,B,Never,3122,3942,Fame,28-Apr-22,D,9.2,アーギュスト,Thief,Memoir,Champion of Memories,408,473,303,323,337,417,400,465,A4 before U Lv10,"Dagger, Dark, Tome"
Tytos,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2014.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2013.png",Available in JP,,2-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,2-Nov-23,Orsterra,338,388,257,307,231,281,26-Jul-23,5.78,C,Never,3252,4072,Power,28-Apr-22,D,9.2,タイタス,Warrior,Memoir,Champion of Memories,449,514,358,423,306,376,280,315,Leave it at U Lv9,"Lightning, Sword"
Herminia,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2014.png",Available in JP,,2-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,2-Nov-23,Orsterra,400,465,250,300,258,278,26-Jul-23,7.44,A,Never,3062,3882,Wealth,28-Apr-22,C,9.3,ヘルミニア,Hunter,Memoir,Champion of Memories,427,492,223,273,396,476,350,400,Leave it at U Lv9,"Bow, Fan, Light"
Fiore EX,,Unavailable,Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%209.png,Available in JP,,8-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,25-Jul-24,Orsterra,333,368,237,302,241,291,9-Aug-23,7.82,A,Never,3222,4042,Fame,8-Aug-22,A,9.7,フィオルEx,Dancer,Rippletide,The Marine Travelers,404,454,343,393,286,356,310,375,Leave it at U Lv9,Fan
Sofia EX,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%209.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2011.png",Available in JP,,8-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,25-Jul-24,Orsterra,246,296,389,454,335,385,9-Aug-23,6.82,B,Never,2896,3716,Wealth,8-Aug-22,C,9.4,ソフィアEx,Apothecary,Emberglow,The Marine Travelers,231,281,291,341,562,632,283,333,Leave it at U Lv9,"Axe, Wind"
Krauser,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2012.png",Available in GL,22-May-25,24-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,22-May-25,22-Feb-24,Orsterra,270,305,240,290,300,350,23-Aug-23,7.36,A,Never,3330,4230,Power,14-Apr-22,E,9.1,クラウザー,Merchant,Memoir,Traveler of Memories,444,509,373,423,322,402,215,250,A4 before U Lv10,"Polearm, Wind"
Rondo,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2015.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2015.png",Available in GL,27-Mar-25,14-Mar-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,13-Jun-24,Orsterra,283,333,282,332,251,301,30-Aug-23,7.4,A,Never,3212,4032,Fame,26-May-22,C,9.3,ロンド,Warrior,Memoir,Traveler of Memories,424,489,343,408,356,426,265,300,A1 then U Lv10,"Light, Sword"
Cecily,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2012.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2010.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%209.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light%2016.png",Available in GL,20-Feb-25,14-Feb-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,20-Feb-25,14-Feb-24,Orsterra,216,251,270,320,270,320,13-Sep-23,8.65,S,Yes,3290,4190,Fame,7-Oct-21,C,9.3,セシリー,Merchant,Grandport,Chance Encounters,384,449,313,363,397,477,330,365,Leave it at U Lv9,"Axe, Light, Polearm, Tome"
Promme,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%207.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2014.png",Available in GL,6-Feb-25,21-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,6-Feb-25,28-Mar-24,Orsterra,283,318,385,450,379,444,20-Sep-23,3.13,E,Yes,2897,3637,Power,10-Jun-21,D,9.2,プロメ,Cleric,Victors Hollow,Chance Encounters,276,326,277,327,390,470,266,316,Leave it at U Lv9,"Fire, Staff"
Roland,17-Jul-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2014.png",Available in GL,29-May-25,4-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,29-May-25,4-Jan-24,Norzelia (TRIANGLE STRATEGY),301,351,275,325,260,310,20-Sep-23,8.22,A,Never,3100,3920,Fame,28-Jul-22,D,9.2,ロラン,Merchant,Memoir,TRIANGLE STRATEGY Crossover Guidance,409,459,328,378,332,412,350,400,A1 then U Lv10,"Lightning, Polearm"
Frederica,17-Jul-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2010.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2015.png",Available in GL,29-May-25,4-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,29-May-25,4-Jan-24,Norzelia (TRIANGLE STRATEGY),211,261,429,479,355,405,20-Sep-23,7.29,A,Never,2816,3636,Fame,28-Jul-22,C,9.4,フレデリカ,Scholar,Memoir,TRIANGLE STRATEGY Crossover Guidance,221,271,281,331,572,652,293,343,Leave it at U Lv9,"Fire, Tome"
Serenoa,17-Jul-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2016.png",Available in GL,29-May-25,4-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,29-May-25,4-Jan-24,Norzelia (TRIANGLE STRATEGY),348,398,242,292,216,266,20-Sep-23,5.38,C,Never,3222,4042,Power,28-Jul-22,D,9.2,セレノア,Warrior,Memoir,Free (Collab Traveler Story),394,444,353,403,291,371,300,350,A4 before U Lv10,"Fire, Sword"
Zenia,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%208.png",Available in GL,10-Jul-25,30-May-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Jul-25,30-May-24,Orsterra,213,263,466,531,217,267,11-Oct-23,7.06,A,Never,3090,3910,Power,1-Jun-22,B,9.6,ゼニア,Apothecary,Grandport,Sacred Blaze Guidance,295,345,342,392,498,568,236,286,A4 before U Lv10,"Axe, Dark"
Rinyuu,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%208.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%209.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2015.png",Available in GL,27-Mar-25,19-Oct-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,27-Mar-25,19-Oct-23,Orsterra,253,288,370,435,424,489,18-Oct-23,8.81,S,Never,2702,3442,Fame,30-Jun-22,A,9.7,リンユウ,Cleric,Memoir,Traveler of Memories,241,291,322,372,485,565,286,336,Ultimate not worth,"Bow, Lightning, Staff"
Yukes,21-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%209.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2017.png",Available in GL,20-Mar-25,7-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,6-Jun-24,Orsterra,238,273,385,450,399,464,15-Nov-23,3,E,Yes,2772,3512,Wealth,12-May-22,C,9.4,ユークス,Cleric,Sunshade,Chance Encounters,241,291,273,323,415,495,371,421,Leave it at U Lv9,"Fire, Staff"
Sarisa,21-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%2010.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2018.png",Available in GL,20-Mar-25,7-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,6-Jun-24,Orsterra,333,383,336,386,213,263,15-Nov-23,6.72,B,Yes,2882,3702,Power,23-Jun-22,B,9.5,サリサ,Thief,Sheperd's Rock,Chance Encounters,368,433,235,255,332,412,445,510,Ultimate not worth,"Dagger, Fire"
Aedelgard,21-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2019.png",Available in GL,20-Mar-25,7-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,6-Jun-24,Orsterra,313,363,252,302,234,284,15-Nov-23,5.33,C,Yes,3232,4052,Fame,14-Jul-22,C,9.3,エデルガルト,Warrior,Cragspear,Chance Encounters,409,474,346,411,381,451,260,295,U Lv10 before A1,"Fire, Sword"
Tressa EX,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2010.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2020.png",Available in GL,27-Feb-25,16-Nov-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,27-Feb-25,16-Nov-23,Orsterra,241,306,360,410,285,305,22-Nov-23,5.19,C,Yes,3080,3900,Wealth,8-Sep-22,E,9,トレサEx,Hunter,Rippletide,Chance Encounters,384,449,333,383,357,437,240,290,Leave it at U Lv9,"Bow, Fire"
Primrose EX,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2012.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2016.png",Available in GL,24-Apr-25,31-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,26-Sep-24,Orsterra,247,297,442,507,332,382,22-Nov-23,9.27,S+,Yes,2706,3526,Power,22-Sep-22,B,9.6,プリムロゼEx,Apothecary,Sunshade,Chance Encounters,240,290,230,280,504,574,392,442,U Lv10 Game Changer,"Axe, Lightning"
Millard EX,12-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2014.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2011.png",Available in JP,,14-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,14-Dec-23,Orsterra,278,313,365,415,419,469,6-Dec-23,5.9,C,Never,2772,3672,Fame,8-Dec-22,E,9.1,ミロードEx,Merchant,Valore,Hallowed Travelers,251,316,292,342,420,500,296,331,Leave it at U Lv9,"Ice, Polearm"
Lumis EX,12-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%2017.png",Available in JP,,14-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,14-Dec-23,Orsterra,244,309,303,353,224,244,6-Dec-23,6.22,B,Never,3165,3985,Fame,15-Dec-22,D,9.2,リュミスEx,Hunter,Donescu,Hallowed Travelers,365,430,356,406,379,459,333,383,Leave it at U Lv9,"Bow, Lightning"
Eltrix,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2018.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark%209.png",Available in JP,,6-Jun-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,6-Jun-24,Orsterra,293,343,237,287,246,296,13-Dec-23,6.73,B,Never,3572,4392,Wealth,25-Aug-22,C,9.4,エルトリクス,Warrior,Memoir,Traveler of Memories,404,469,328,393,301,371,270,305,Leave it at U Lv9,"Axe, Dark, Sword"
Leon,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2015.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%2010.png",Available in GL,10-Jul-25,30-May-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,10-Jul-25,30-May-24,Orsterra,246,281,240,290,285,335,27-Dec-23,7.25,A,Never,3280,4180,Wealth,29-Sep-22,C,9.3,レオン,Merchant,Grandport,Sacred Blaze Guidance,444,509,348,398,382,462,235,270,Leave it at U Lv9,"Polearm, Staff"
Tatloch,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2010.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword%2019.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2016.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2014.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2013.png",Available in GL,19-Jun-25,9-May-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,19-Jun-25,9-May-24,G'roha,262,297,402,467,257,307,10-Jan-24,7.2,A,Never,3236,4056,Power,13-Oct-22,B,9.5,タトゥロック,Dancer,Memoir,Champion of Memories,415,465,225,275,424,494,292,357,A4 before U Lv10,"Axe, Fan, Polearm, Staff, Sword, Wind"
Sonia,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2014.png",Available in GL,27-Mar-25,21-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,3-Jul-25,16-May-24,Orsterra,293,343,351,401,238,288,24-Jan-24,8.29,A,Never,2902,3722,Wealth,28-Oct-22,B,9.6,ソニア,Thief,Memoir,Traveler of Memories,373,438,255,275,337,417,430,495,U Lv10 before A1,"Dagger, Wind"
Bargello,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%2012.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%2015.png",Available in GL,3-Jul-25,2-May-24,⭐️⭐️⭐️⭐️⭐️,Available in GL,3-Jul-25,2-May-24,Orsterra,368,418,241,291,258,308,24-Jan-24,9.04,S+,Never,2932,3752,Wealth,28-Oct-22,A,9.7,バルジェロ,Thief,Memoir,Traveler of Memories,423,488,275,295,332,412,380,445,A4 before U Lv10,"Dagger, Wind"
Hammy,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice%2012.png",Available in JP,,12-Sep-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,12-Sep-24,Orsterra,276,326,279,344,295,345,7-Feb-24,7.17,A,Never,2756,3416,Fame,10-Nov-22,B,9.6,ハミィ,Scholar,I'cirlo,Tourney,401,451,256,306,350,440,403,453,A4 before U Lv10,"Ice, Tome"
H’aanit EX,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan%2011.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2021.png",Available in GL,24-Apr-25,4-Jan-24,⭐️⭐️⭐️⭐️⭐️,Available in JP,,9-May-24,Orsterra,342,377,327,392,255,305,7-Feb-24,8.35,S,Yes,3096,3916,Fame,2-Feb-23,B,9.6,ハンイットEx,Dancer,Valore,Chance Encounters,388,438,231,281,369,439,350,415,A1 then U Lv10,"Fan, Fire"
Nephti,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe%2015.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves%2012.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2012.png",Available in GL,17-Apr-25,21-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,17-Apr-25,21-Dec-23,Orsterra,203,253,251,316,360,410,21-Feb-24,8.72,S,Never,3200,4020,Fame,19-Jan-23,B,9.5,ネフティ,Apothecary,Memoir,Traveler of Memories,355,405,400,450,348,418,286,336,A4 before U Lv10,"Axe, Staff, Tome"
Solon,,Unavailable,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome%2013.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%2017.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%2022.png",Available in GL,22-May-25,24-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,22-May-25,11-Jan-24,Orsterra,236,286,409,459,310,360,21-Feb-24,8.74,S,Never,2916,3736,Wealth,16-Feb-23,A,9.7,ソロン,Scholar,Memoir,Traveler of Memories,271,321,321,371,602,682,233,283,U Lv10 Game Changer,"Fire, Polearm, Tome"
